feature,coefficient,abs_coefficient
tuition_fees_up_to_date,-0.8516872497889587,0.8516872497889587
financial_stress,0.8006759645144127,0.8006759645144127
curricular_units_2nd_sem_approved,-0.45361382840941605,0.45361382840941605
debtor,0.42343404537405976,0.42343404537405976
second_sem_success_rate,-0.3585187099057491,0.3585187099057491
gender,0.34979855522603065,0.34979855522603065
unemployment_rate,0.34250978667588067,0.34250978667588067
age_at_enrollment,0.28064760033684016,0.28064760033684016
curricular_units_2nd_sem_enrolled,0.27015414838617063,0.27015414838617063
curricular_units_2nd_sem_credited,0.265357679973558,0.265357679973558
scholarship_holder,-0.26359138094153817,0.26359138094153817
curricular_units_1st_sem_approved,-0.2483551420917268,0.2483551420917268
curricular_units_2nd_sem_without_evaluations,-0.16010356298983636,0.16010356298983636
admission_grade,0.13741122364648267,0.13741122364648267
application_order,0.1349427737293633,0.1349427737293633
first_sem_success_rate,-0.129808207105194,0.129808207105194
curricular_units_2nd_sem_grade,-0.12285075258976284,0.12285075258976284
displaced,0.10733175952882722,0.10733175952882722
inflation_rate,-0.10015694198890537,0.10015694198890537
curricular_units_1st_sem_credited,0.08718539227771661,0.08718539227771661
curricular_units_1st_sem_enrolled,0.08131723623249547,0.08131723623249547
curricular_units_2nd_sem_evaluations,-0.07759909890831347,0.07759909890831347
curricular_units_1st_sem_grade,0.07499459245182505,0.07499459245182505
marital_status,-0.07208514055947329,0.07208514055947329
international,-0.0642704910921933,0.0642704910921933
gdp,0.043024981477860484,0.043024981477860484
curricular_units_1st_sem_without_evaluations,-0.03234183536781512,0.03234183536781512
avg_semester_grade,-0.02760640980011928,0.02760640980011928
mothers_qualification,0.023010556571494954,0.023010556571494954
curricular_units_1st_sem_evaluations,0.015680924592206196,0.015680924592206196
max_parental_education,-0.015439861626416116,0.015439861626416116
educational_special_needs,0.01512146287840505,0.01512146287840505
nacionality,-0.014268761331865071,0.014268761331865071
mothers_occupation,-0.012245308484530164,0.012245308484530164
previous_qualification,-0.011886501599554105,0.011886501599554105
attendance_type,0.006650366426670087,0.006650366426670087
application_mode,-0.005616824126221482,0.005616824126221482
fathers_qualification,-0.005309853943650511,0.005309853943650511
previous_qualification_grade,0.0023725864728895625,0.0023725864728895625
fathers_occupation,0.0013494513140617488,0.0013494513140617488
course,6.995393306356844e-05,6.995393306356844e-05
